run,repetition,module,name,value
General-6-20221231-12:32:32-18328,6,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00054445117588034
General-6-20221231-12:32:32-18328,6,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00054219572150578
General-6-20221231-12:32:32-18328,6,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00051996218531404
General-6-20221231-12:32:32-18328,6,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.0005363016005178
General-7-20221231-12:32:32-6276,7,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00052076370621632
General-7-20221231-12:32:32-6276,7,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00052632576916635
General-7-20221231-12:32:32-6276,7,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00053329128381689
General-7-20221231-12:32:32-6276,7,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00050845384025075
General-7-20221231-12:32:32-6276,7,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00050443877596539
General-7-20221231-12:32:32-6276,7,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00053310963728043
General-7-20221231-12:32:32-6276,7,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00050481736168845
General-7-20221231-12:32:32-6276,7,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00052761026645965
General-7-20221231-12:32:32-6276,7,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00053539013198344
General-7-20221231-12:32:32-6276,7,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00053508546411594
General-8-20221231-12:32:32-3244,8,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00052573216532759
General-8-20221231-12:32:32-3244,8,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00050970788729773
General-8-20221231-12:32:32-3244,8,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00050264075454652
General-8-20221231-12:32:32-3244,8,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00052394539883333
General-8-20221231-12:32:32-3244,8,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00052722169901099
General-8-20221231-12:32:32-3244,8,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00052846249656829
General-8-20221231-12:32:32-3244,8,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00052304852881161
General-8-20221231-12:32:32-3244,8,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00053477409399546
General-8-20221231-12:32:32-3244,8,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00052880481719981
General-8-20221231-12:32:32-3244,8,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00052214628242304
General-9-20221231-12:32:32-6676,9,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00049398724829236
General-9-20221231-12:32:32-6676,9,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00052331569402989
General-9-20221231-12:32:32-6676,9,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00051787307212487
General-9-20221231-12:32:32-6676,9,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00051335628083413
General-9-20221231-12:32:32-6676,9,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00053023892244466
General-9-20221231-12:32:32-6676,9,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00051928295772084
General-9-20221231-12:32:32-6676,9,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00053267735258097
General-9-20221231-12:32:32-6676,9,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.0005234623344378
General-9-20221231-12:32:32-6676,9,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.0005137327674934
General-9-20221231-12:32:32-6676,9,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00052417217103797
General-10-20221231-12:32:35-10476,10,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00052836945618124
General-10-20221231-12:32:35-10476,10,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00050312827281143
General-10-20221231-12:32:35-10476,10,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00051021162886434
General-10-20221231-12:32:35-10476,10,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00054543009708357
General-10-20221231-12:32:35-10476,10,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00050610279626619
General-10-20221231-12:32:35-10476,10,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00052340832022421
General-10-20221231-12:32:35-10476,10,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00052983505507918
General-10-20221231-12:32:35-10476,10,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00052381822589875
General-10-20221231-12:32:35-10476,10,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00053950439349251
General-10-20221231-12:32:35-10476,10,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00050648634669245
General-11-20221231-12:32:35-12856,11,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00052397000588597
General-11-20221231-12:32:35-12856,11,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00052039364866939
General-11-20221231-12:32:35-12856,11,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00050937072396464
General-11-20221231-12:32:35-12856,11,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00053446445807913
General-11-20221231-12:32:35-12856,11,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00052812293124239
General-11-20221231-12:32:35-12856,11,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00051195979505865
General-11-20221231-12:32:35-12856,11,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00051638051322453
General-11-20221231-12:32:35-12856,11,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00052702556186385
General-11-20221231-12:32:35-12856,11,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00051316208728586
